"Notes"	"2013 CBSA"	"2013 CBSA Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error
	"Akron, OH"	"10420"	7402	702221	1054.1	1030.1	1078.1	12.3
	"Albany-Schenectady-Troy, NY"	"10580"	7868	881839	892.2	872.5	911.9	10.1
	"Albuquerque, NM"	"10740"	7606	909906	835.9	817.1	854.7	9.6
	"Allentown-Bethlehem-Easton, PA-NJ"	"10900"	8182	835652	979.1	957.9	1000.3	10.8
	"Amarillo, TX"	"11100"	2392	263342	908.3	871.9	944.7	18.6
	"Anchorage, AK"	"11260"	2332	402557	579.3	555.8	602.8	12.0
	"Ann Arbor, MI"	"11460"	2274	364709	623.5	597.9	649.1	13.1
	"Asheville, NC"	"11700"	5001	452319	1105.6	1075.0	1136.3	15.6
	"Atlanta-Sandy Springs-Roswell, GA"	"12060"	37086	5789700	640.6	634.0	647.1	3.3
	"Atlantic City-Hammonton, NJ"	"12100"	2787	270991	1028.4	990.3	1066.6	19.5
	"Augusta-Richmond County, GA-SC"	"12260"	5473	594919	920.0	895.6	944.3	12.4
	"Austin-Round Rock, TX"	"12420"	10361	2056405	503.8	494.1	513.5	4.9
	"Bakersfield, CA"	"12540"	6038	884788	682.4	665.2	699.6	8.8
	"Baltimore-Columbia-Towson, MD"	"12580"	25276	2798886	903.1	891.9	914.2	5.7
	"Baton Rouge, LA"	"12940"	7044	835175	843.4	823.7	863.1	10.0
	"Beaumont-Port Arthur, TX"	"13140"	4312	409968	1051.8	1020.4	1083.2	16.0
